database,iam model,model label,scenario,scenario label,scenario key,warming bin,year,market,market location,provider,provider product,provider unit,provider location,provider key,demand amount,stage,substage,component,classification rule
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '300dda1508314dcfb4b72cc6f458e238')",0.5915049395258205,Production,Production technology,PEM electrolysis,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '163b51af46394904a3083e11f9d339a2')",0.07051346346973338,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'd8ec25b66a0040f5960475b93ee333c7')",1.0404696929906888e-05,Production,Production technology,Coal gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"hydrogen production, steam methane reforming","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '46bfddb2801948c59f24d2aec29eb2ee')",0.2783610188445709,Production,Production technology,Steam methane reforming,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '115307cd34494f56a5092cd70be9eaa7')",0.05959852020238385,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"transport, hydrogen, gaseous, lorry, unspecified","transport, hydrogen, gaseous, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '9c6831be329a43c8b886d94847cadeb5')",0.0125,Distribution,Transport,Gaseous H2 truck,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"transport, hydrogen, liquid, lorry, unspecified","transport, hydrogen, liquid, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '6af2dd12e6cd42ef8d9a103ceaca3082')",0.025,Distribution,Transport,Liquid H2 truck,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ca4ffb0d3a4b482fae2eaab51db65c2f')",0.5,Distribution,Transport,Pipeline distribution,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '112e494e7ef44487b1a911412bf8d9f7')",1.613515571152746e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '40acecb8c1514449a8f143b4ab49698c')",0.9082769155502319,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,gaseous hydrogen production,gaseous hydrogen production,unit,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '909c77b0e4a1430980cadffdaf3128ce')",0.25,Distribution,Conversion,Compression (lorry),exact conversion activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,liquid hydrogen production,liquid hydrogen production,unit,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'a0e91f7447a54e75ba094d8a84b182d5')",0.25,Distribution,Conversion,Liquefaction,exact conversion activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,liquid hydrogen regasification,liquid hydrogen regasification,unit,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '2e4dfd3e570145179706261a4b203394')",0.25,Distribution,Reconversion,Hydrogen regasification,reconversion activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '300dda1508314dcfb4b72cc6f458e238')",0.5915049395258205,Production,Production technology,PEM electrolysis,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ea0778b4e4e7418eb8790f49c90b67a2')",1.1653260561495713e-05,Production,Production technology,Biomass gasification,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '163b51af46394904a3083e11f9d339a2')",0.07051346346973338,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'd8ec25b66a0040f5960475b93ee333c7')",1.0404696929906888e-05,Production,Production technology,Coal gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"hydrogen production, steam methane reforming","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '46bfddb2801948c59f24d2aec29eb2ee')",0.2783610188445709,Production,Production technology,Steam methane reforming,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '115307cd34494f56a5092cd70be9eaa7')",0.05959852020238385,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ca4ffb0d3a4b482fae2eaab51db65c2f')",0.7999999999999999,Distribution,Transport,Pipeline distribution,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '112e494e7ef44487b1a911412bf8d9f7')",2.5816249138443934e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,EUR,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '40acecb8c1514449a8f143b4ab49698c')",1.453243064880371,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '300dda1508314dcfb4b72cc6f458e238')",0.5915049395258205,Production,Production technology,PEM electrolysis,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ea0778b4e4e7418eb8790f49c90b67a2')",1.1653260561495713e-05,Production,Production technology,Biomass gasification,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '163b51af46394904a3083e11f9d339a2')",0.07051346346973338,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'd8ec25b66a0040f5960475b93ee333c7')",1.0404696929906888e-05,Production,Production technology,Coal gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"hydrogen production, steam methane reforming","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '46bfddb2801948c59f24d2aec29eb2ee')",0.2783610188445709,Production,Production technology,Steam methane reforming,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '115307cd34494f56a5092cd70be9eaa7')",0.05959852020238385,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"transport, hydrogen, gaseous, lorry, unspecified","transport, hydrogen, gaseous, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '9c6831be329a43c8b886d94847cadeb5')",0.0125,Distribution,Transport,Gaseous H2 truck,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"transport, hydrogen, liquid, lorry, unspecified","transport, hydrogen, liquid, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '6af2dd12e6cd42ef8d9a103ceaca3082')",0.025,Distribution,Transport,Liquid H2 truck,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ca4ffb0d3a4b482fae2eaab51db65c2f')",0.5,Distribution,Transport,Pipeline distribution,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '112e494e7ef44487b1a911412bf8d9f7')",1.613515571152746e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '40acecb8c1514449a8f143b4ab49698c')",0.9082769155502319,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,gaseous hydrogen production,gaseous hydrogen production,unit,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '909c77b0e4a1430980cadffdaf3128ce')",0.25,Distribution,Conversion,Compression (lorry),exact conversion activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,liquid hydrogen production,liquid hydrogen production,unit,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'a0e91f7447a54e75ba094d8a84b182d5')",0.25,Distribution,Conversion,Liquefaction,exact conversion activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,EUR,liquid hydrogen regasification,liquid hydrogen regasification,unit,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '2e4dfd3e570145179706261a4b203394')",0.25,Distribution,Reconversion,Hydrogen regasification,reconversion activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Heating,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '300dda1508314dcfb4b72cc6f458e238')",0.5915049395258205,Production,Production technology,PEM electrolysis,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Heating,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ea0778b4e4e7418eb8790f49c90b67a2')",1.1653260561495713e-05,Production,Production technology,Biomass gasification,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Heating,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '163b51af46394904a3083e11f9d339a2')",0.07051346346973338,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Heating,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'd8ec25b66a0040f5960475b93ee333c7')",1.0404696929906888e-05,Production,Production technology,Coal gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Heating,EUR,"hydrogen production, steam methane reforming","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '46bfddb2801948c59f24d2aec29eb2ee')",0.2783610188445709,Production,Production technology,Steam methane reforming,hydrogen production activity
